GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HTML Form Entry API,org.openmrs.module.htmlformentry.comparator,OptionComparator,0,9,0,0,0,3,0,2,0,2
HTML Form Entry API,org.openmrs.module.htmlformentry.impl,HtmlFormEntryServiceImpl,480,55,68,0,118,17,52,10,18,10
HTML Form Entry API,org.openmrs.module.htmlformentry.extension.html,FormEntryHandlerExtension,68,0,6,0,15,0,11,0,8,0
HTML Form Entry API,org.openmrs.module.htmlformentry.extension.html,AdminList,33,0,2,0,10,0,6,0,5,0
HTML Form Entry API,org.openmrs.module.htmlformentry.export,HtmlFormEntryExportUtil,1300,0,134,0,257,0,81,0,14,0
HTML Form Entry API,org.openmrs.module.htmlformentry.util,ProviderTransformer,0,31,1,3,0,6,1,3,0,2
HTML Form Entry API,org.openmrs.module.htmlformentry.util,MatchMode,0,34,0,0,0,2,0,1,0,1
HTML Form Entry API,org.openmrs.module.htmlformentry.regimen,RegimenUtil,270,0,42,0,63,0,26,0,5,0
HTML Form Entry API,org.openmrs.module.htmlformentry.tag,EncounterProviderAndRoleTag,17,105,2,2,4,20,5,8,3,8
HTML Form Entry API,org.openmrs.module.htmlformentry.tag,WorkflowStateTag,353,0,38,0,57,0,27,0,8,0
HTML Form Entry API,org.openmrs.module.htmlformentry.tag,TagUtil,90,84,16,18,13,26,13,9,1,4
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,ObsGroupTagHandler,257,21,32,0,49,5,20,2,4,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,RedirectOnSaveTagHandler,43,3,4,0,9,1,4,1,2,1
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,StandardRegimenTagHandlerSupport1_6,16,34,0,0,3,6,1,2,1,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,VelocityHandler,150,3,22,0,32,1,12,1,1,1
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,RepeatTagHandler,46,0,2,0,11,0,4,0,3,0
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,LogicConditionalIncludeTagHandler,105,3,8,0,22,1,7,1,3,1
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,DrugOrderTagHandler,7,7,0,0,1,2,1,2,1,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,MarkPatientDeadTagHandler,86,15,2,0,22,2,6,2,5,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,PostSubmissionActionTagHandler.Action,40,0,0,0,11,0,3,0,3,0
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,WorkflowStateTagHandler,16,34,0,0,3,6,1,2,1,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,SubmitButtonHandler,46,59,4,8,5,13,4,4,0,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,WhenTagHandler,98,3,24,0,22,1,13,1,1,1
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,IfModeTagHandler,36,3,6,0,6,1,4,1,1,1
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,SimpleConditionalIncludeTagHandler,21,3,4,0,7,1,5,1,3,1
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,CompleteProgramHandler,16,18,0,0,3,4,1,2,1,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,ObsTagHandler,482,58,74,0,97,9,41,2,4,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,PatientTagHandler,16,18,0,0,3,4,1,2,1,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,TagAnalysis,31,0,0,0,9,0,5,0,5,0
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,StandardRegimenTagHandler,7,7,0,0,1,2,1,2,1,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,EncounterLocationHandler,0,71,0,0,0,13,0,3,0,3
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,EncounterVoidHandler,29,3,0,0,6,1,1,1,1,1
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,ObsReferenceTagHandler,25,3,0,0,6,1,1,1,1,1
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,EncounterProviderAndRoleTagHandler,0,50,0,0,0,9,0,3,0,3
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,DrugOrderTagHandlerSupport1_6,16,34,0,0,3,6,1,2,1,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,RepeatConceptHandler,3,0,0,0,1,0,1,0,1,0
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,IncludeIfTagHandler,6,3,0,0,1,1,1,1,1,1
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,RedirectOnSaveTagHandler.ScriptAction,71,0,0,0,18,0,4,0,4,0
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,EncounterProviderHandler,29,34,0,0,6,6,1,2,1,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,AbstractTagHandler,35,43,4,4,9,11,5,6,3,4
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,EncounterDateHandler,7,43,1,1,1,10,1,2,0,2
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,ImmunizationTagHandler,15,3,0,0,3,1,1,1,1,1
HTML Form Entry API,org.openmrs.module.htmlformentry.handler,RedirectOnSaveTagHandler.UrlTemplateAction,21,0,0,0,8,0,4,0,4,0
